m,n,k,time
1000,200,200,0.00205205
1000,200,300,0.00323448
1000,200,400,0.00430979
1000,200,500,0.0038109
1000,200,600,0.0046176
1000,200,700,0.00573024
1000,200,800,0.00735422
1000,200,900,0.00861047
1000,200,1000,0.0102887
1000,300,100,0.00145474
1000,300,200,0.00258981
1000,300,300,0.00374391
1000,300,400,0.00515354
1000,300,500,0.00669471
1000,300,600,0.00877372
1000,300,700,0.0207229
1000,300,800,0.0215501
1000,300,900,0.0243856
1000,300,1000,0.0184539
1000,400,100,0.00161889
1000,400,200,0.00318267
1000,400,300,0.00483563
1000,400,400,0.00704769
1000,400,500,0.00966199
1000,400,600,0.0120905
1000,400,700,0.0167718
1000,400,800,0.0204654
1000,400,900,0.0247306
1000,400,1000,0.028074
1000,500,100,0.00213914
1000,500,200,0.00423544
1000,500,300,0.00672909
1000,500,400,0.010441
1000,500,500,0.0151252
1000,500,600,0.019227
1000,500,700,0.0227497
1000,500,800,0.0283845
1000,500,900,0.0316318
1000,500,1000,0.0337376
1000,600,100,0.00250851
1000,600,200,0.00526093
1000,600,300,0.00802987
1000,600,400,0.0133613
1000,600,500,0.0196923
1000,600,600,0.0245875
1000,600,700,0.0305472
1000,600,800,0.032729
1000,600,900,0.0392677
1000,600,1000,0.0421048
1000,700,100,0.00298515
1000,700,200,0.00620943
1000,700,300,0.0121411
1000,700,400,0.0158992
1000,700,500,0.0246963
1000,700,600,0.0302911
1000,700,700,0.0330692
1000,700,800,0.0418427
1000,700,900,0.0437421
1000,700,1000,0.0494579
1000,800,100,0.00478743
1000,800,200,0.00782305
1000,800,300,0.012234
1000,800,400,0.0211004
1000,800,500,0.0254039
1000,800,600,0.0342493
1000,800,700,0.0402724
1000,800,800,0.0451877
1000,800,900,0.0518149
1000,800,1000,0.0596713
1000,900,100,0.0037767
1000,900,200,0.00937823
1000,900,300,0.0179904
1000,900,400,0.0220628
1000,900,500,0.0305901
1000,900,600,0.0386615
1000,900,700,0.0434386
1000,900,800,0.050913
1000,900,900,0.0586897
1000,900,1000,0.0695925
1000,1000,100,0.00387772
1000,1000,200,0.00956161
1000,1000,300,0.0180133
1000,1000,400,0.0286412
1000,1000,500,0.0340875
1000,1000,600,0.0442901
1000,1000,700,0.048874
1000,1000,800,0.0559923
1000,1000,900,0.0678239
1000,1000,1000,0.070374
