m,n,k,time
200,800,300,0.22113
200,800,400,0.28853199999999996
200,800,500,0.358067
200,800,600,0.433731
200,800,700,0.501621
200,800,800,0.5845779999999999
200,800,900,0.643244
200,800,1000,0.700075
200,900,100,0.0761835
200,900,200,0.155585
200,900,300,0.234079
200,900,400,0.309892
200,900,500,0.388392
200,900,600,0.46973200000000004
200,900,700,0.553606
200,900,800,0.634463
200,900,900,0.71413
200,900,1000,0.813252
200,1000,100,0.0901111
200,1000,200,0.18077600000000002
200,1000,300,0.269398
200,1000,400,0.35458
200,1000,500,0.44051799999999997
200,1000,600,0.530837
200,1000,700,0.624031
200,1000,800,0.711361
200,1000,900,0.8400449999999999
200,1000,1000,0.9310879999999999
300,100,100,0.0147936
300,100,200,0.0258721
300,100,300,0.038968499999999996
300,100,400,0.052987099999999995
300,100,500,0.0671581
300,100,600,0.0794759
300,100,700,0.09278220000000001
300,100,800,0.10566400000000001
300,100,900,0.119298
300,100,1000,0.131239
300,200,100,0.025079
300,200,200,0.0530443
300,200,300,0.0792471
300,200,400,0.104807
300,200,500,0.130427
300,200,600,0.155454
300,200,700,0.183445
300,200,800,0.217441
300,200,900,0.2376
300,200,1000,0.263284
300,300,100,0.037960900000000006
300,300,200,0.0783106
300,300,300,0.118498
300,300,400,0.15959399999999999
300,300,500,0.19583
300,300,600,0.232488
300,300,700,0.272423
300,300,800,0.320041
300,300,900,0.351049
300,300,1000,0.38433100000000003
300,400,100,0.050841000000000004
300,400,200,0.10339100000000001
300,400,300,0.158881
300,400,400,0.216214
300,400,500,0.261852
300,400,600,0.296579
300,400,700,0.35081799999999996
300,400,800,0.410952
300,400,900,0.450175
300,400,1000,0.49426600000000004
300,500,100,0.06179
300,500,200,0.127724
300,500,300,0.189548
300,500,400,0.26061399999999996
300,500,500,0.313939
300,500,600,0.37272500000000003
300,500,700,0.447717
300,500,800,0.517067
300,500,900,0.569305
300,500,1000,0.623546
300,600,100,0.07412260000000001
300,600,200,0.150119
300,600,300,0.23019
300,600,400,0.310446
300,600,500,0.38661900000000005
300,600,600,0.453531
300,600,700,0.54322
300,600,800,0.628869
300,600,900,0.702375
300,600,1000,0.7587910000000001
300,700,100,0.0866565
300,700,200,0.176291
300,700,300,0.271399
300,700,400,0.362666
300,700,500,0.458505
300,700,600,0.558413
300,700,700,0.674416
300,700,800,0.754578
300,700,900,0.886615
300,700,1000,0.966945
300,800,100,0.10506499999999999
300,800,200,0.215091
300,800,300,0.325834
300,800,400,0.430437
300,800,500,0.541087
300,800,600,0.645531
300,800,700,0.7545940000000001
300,800,800,0.86513
300,800,900,0.985797
300,800,1000,1.09585
300,900,100,0.117407
300,900,200,0.23853
300,900,300,0.36249200000000004
300,900,400,0.479337
300,900,500,0.5912179999999999
300,900,600,0.700764
300,900,700,0.8222659999999999
300,900,800,0.9487960000000001
300,900,900,1.07333
300,900,1000,1.2353299999999998
300,1000,100,0.128736
300,1000,200,0.264967
300,1000,300,0.403785
300,1000,400,0.52677
300,1000,500,0.6628809999999999
300,1000,600,0.794359
300,1000,700,0.930516
300,1000,800,1.08115
300,1000,900,1.25593
300,1000,1000,1.39647
400,100,100,0.017018000000000002
400,100,200,0.0339456
400,100,300,0.0522052
400,100,400,0.07010670000000001
400,100,500,0.0917979
400,100,600,0.105056
400,100,700,0.12377500000000001
400,100,800,0.141012
400,100,900,0.15795099999999998
400,100,1000,0.17622
400,200,100,0.037721
400,200,200,0.0710666
400,200,300,0.106667
400,200,400,0.14035
400,200,500,0.175236
400,200,600,0.207391
400,200,700,0.244952
400,200,800,0.291699
400,200,900,0.317728
400,200,1000,0.34697500000000003
400,300,100,0.0510321
400,300,200,0.107904
400,300,300,0.15784299999999998
400,300,400,0.20940799999999998
